step,nta,cat,s,e,is,ia,r,d
0,BK83,m,6726.268307542456,0.0,0.0,0.0,0.0,0.0
0,BK83,c,7800.743389029071,0.0,0.0,0.0,0.0,0.0
0,BK83,i,16051.408790208372,0.0,0.0,0.0,0.0,0.0
0,BK83,h,18644.579513220102,0.0,0.0,0.0,0.0,0.0
0,BK85,m,3837.1248570457524,0.0,0.0,0.0,0.0,0.0
0,BK85,c,4822.772024747278,0.0,0.0,0.0,0.0,0.0
0,BK85,i,9568.626213987043,0.0,0.0,0.0,0.0,0.0
0,BK85,h,11114.476904219926,0.0,0.0,0.0,0.0,0.0
0,BK88,m,9364.910471141851,0.0,0.0,0.0,0.0,0.0
0,BK88,c,22023.85866142337,0.0,0.0,0.0,0.0,0.0
0,BK88,i,34682.56068708107,0.0,0.0,0.0,0.0,0.0
0,BK88,h,40285.6701803537,0.0,0.0,0.0,0.0,0.0
0,BK90,m,3313.8515296072483,0.0,0.0,0.0,0.0,0.0
0,BK90,c,6767.079448421117,0.0,0.0,0.0,0.0,0.0
0,BK90,i,11138.777024072842,0.0,0.0,0.0,0.0,0.0
0,BK90,h,12938.291997898792,0.0,0.0,0.0,0.0,0.0
0,BK91,m,2278.8731836868733,0.0,0.0,0.0,0.0,0.0
0,BK91,c,12582.221710587333,0.0,0.0,0.0,0.0,0.0
0,BK91,i,16420.549126037473,0.0,0.0,0.0,0.0,0.0
0,BK91,h,19073.35597968832,0.0,0.0,0.0,0.0,0.0
0,BK93,m,0.0,0.0,0.0,0.0,0.0,0.0
0,BK93,c,3941.119277492558,0.0,0.0,0.0,0.0,0.0
0,BK93,i,4354.682018252495,0.0,0.0,0.0,0.0,0.0
0,BK93,h,5058.198704254946,0.0,0.0,0.0,0.0,0.0
0,BK95,m,3791.679890209305,0.0,0.0,0.0,0.0,0.0
0,BK95,c,5043.817258927448,0.0,0.0,0.0,0.0,0.0
0,BK95,i,9762.653157289442,0.0,0.0,0.0,0.0,0.0
0,BK95,h,11339.849693573804,0.0,0.0,0.0,0.0,0.0
0,BK96,m,1294.7379561730982,0.0,0.0,0.0,0.0,0.0
0,BK96,c,15033.43076829547,0.0,0.0,0.0,0.0,0.0
0,BK96,i,18041.570865795835,0.0,0.0,0.0,0.0,0.0
0,BK96,h,20956.260409735594,0.0,0.0,0.0,0.0,0.0
0,BK99,m,0.0,0.0,0.0,0.0,0.0,0.0
0,BK99,c,123.36287689021187,0.0,0.0,0.0,0.0,0.0
0,BK99,i,136.3080038662231,0.0,0.0,0.0,0.0,0.0
0,BK99,h,158.32911924356506,0.0,0.0,0.0,0.0,0.0
0,BX01,m,1579.9626207992467,0.0,0.0,0.0,0.0,0.0
0,BX01,c,7691.850806448313,0.0,0.0,0.0,0.0,0.0
0,BX01,i,8771.401144066822,0.0,0.0,0.0,0.0,0.0
0,BX01,h,13034.785428685616,0.0,0.0,0.0,0.0,0.0
0,BX03,m,4218.129774960628,0.0,0.0,0.0,0.0,0.0
0,BX03,c,6079.675233994389,0.0,0.0,0.0,0.0,0.0
0,BX03,i,9742.01857551176,0.0,0.0,0.0,0.0,0.0
0,BX03,h,14477.176415533224,0.0,0.0,0.0,0.0,0.0
0,BX05,m,6714.528536670932,0.0,0.0,0.0,0.0,0.0
0,BX05,c,9519.647653678381,0.0,0.0,0.0,0.0,0.0
0,BX05,i,15357.995792985266,0.0,0.0,0.0,0.0,0.0
0,BX05,h,22822.828016665422,0.0,0.0,0.0,0.0,0.0
0,BX06,m,816.1170694575367,0.0,0.0,0.0,0.0,0.0
0,BX06,c,7351.83801166685,0.0,0.0,0.0,0.0,0.0
0,BX06,i,7727.1195225645615,0.0,0.0,0.0,0.0,0.0
0,BX06,h,11482.925396311051,0.0,0.0,0.0,0.0,0.0
0,BX07,m,4506.122300689216,0.0,0.0,0.0,0.0,0.0
0,BX07,c,6096.287943777087,0.0,0.0,0.0,0.0,0.0
0,BX07,i,10030.183855391168,0.0,0.0,0.0,0.0,0.0
0,BX07,h,14905.405900142527,0.0,0.0,0.0,0.0,0.0
0,BX08,m,3480.0767529393424,0.0,0.0,0.0,0.0,0.0
0,BX08,c,6965.108262227795,0.0,0.0,0.0,0.0,0.0
0,BX08,i,9881.444283896117,0.0,0.0,0.0,0.0,0.0
0,BX08,h,14684.370700936743,0.0,0.0,0.0,0.0,0.0
